ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",35042,6653,"Census Tract 112, Thurston County, WA","14000US53067011200"
2015,"2015",0,"Total",61308,8301,"Census Tract 116.22, Thurston County, WA","14000US53067011622"
2015,"2015",0,"Total",53801,9768,"Census Tract 103, Thurston County, WA","14000US53067010300"
2015,"2015",0,"Total",70525,8381,"Census Tract 125.30, Thurston County, WA","14000US53067012530"
2015,"2015",0,"Total",74700,5696,"Census Tract 123.10, Thurston County, WA","14000US53067012310"
2015,"2015",0,"Total",48194,10609,"Census Tract 126.20, Thurston County, WA","14000US53067012620"
2015,"2015",0,"Total",59250,9037,"Census Tract 116.23, Thurston County, WA","14000US53067011623"
2015,"2015",0,"Total",60889,8736,"Census Tract 109.10, Thurston County, WA","14000US53067010910"
2015,"2015",0,"Total",49618,9021,"Census Tract 113, Thurston County, WA","14000US53067011300"
2015,"2015",0,"Total",30185,7553.000000000001,"Census Tract 101, Thurston County, WA","14000US53067010100"
2015,"2015",0,"Total",80059,5757,"Census Tract 122.22, Thurston County, WA","14000US53067012222"
2015,"2015",0,"Total",68770,8400,"Census Tract 116.24, Thurston County, WA","14000US53067011624"
2015,"2015",0,"Total",49635,5570,"Census Tract 106, Thurston County, WA","14000US53067010600"
2015,"2015",0,"Total",54647,7454,"Census Tract 124.12, Thurston County, WA","14000US53067012412"
2015,"2015",0,"Total",68889,7799.999999999999,"Census Tract 127.10, Thurston County, WA","14000US53067012710"
2015,"2015",0,"Total",57643,4670,"Census Tract 114.10, Thurston County, WA","14000US53067011410"
2015,"2015",0,"Total",86228,5221,"Census Tract 117.10, Thurston County, WA","14000US53067011710"
2015,"2015",0,"Total",55011,6809,"Census Tract 125.20, Thurston County, WA","14000US53067012520"
2015,"2015",0,"Total",44706,6921,"Census Tract 109.20, Thurston County, WA","14000US53067010920"
2015,"2015",0,"Total",80727,11473,"Census Tract 122.21, Thurston County, WA","14000US53067012221"
2015,"2015",0,"Total",35580,9541,"Census Tract 105.10, Thurston County, WA","14000US53067010510"
2015,"2015",0,"Total",46236,10459,"Census Tract 124.11, Thurston County, WA","14000US53067012411"
2015,"2015",0,"Total",63826,6100,"Census Tract 114.20, Thurston County, WA","14000US53067011420"
2015,"2015",0,"Total",80933,12049,"Census Tract 117.20, Thurston County, WA","14000US53067011720"
2015,"2015",0,"Total",46496,4081,"Census Tract 122.12, Thurston County, WA","14000US53067012212"
2015,"2015",0,"Total",70781,13549,"Census Tract 126.10, Thurston County, WA","14000US53067012610"
2015,"2015",0,"Total",91875,8795,"Census Tract 118.10, Thurston County, WA","14000US53067011810"
2015,"2015",0,"Total",80191,5251,"Census Tract 107, Thurston County, WA","14000US53067010700"
2015,"2015",0,"Total",64556,7565,"Census Tract 110, Thurston County, WA","14000US53067011000"
2015,"2015",0,"Total",57470,7087.000000000001,"Census Tract 115, Thurston County, WA","14000US53067011500"
2015,"2015",0,"Total",77054,20013,"Census Tract 122.11, Thurston County, WA","14000US53067012211"
2015,"2015",0,"Total",62670,13298,"Census Tract 118.21, Thurston County, WA","14000US53067011821"
2015,"2015",0,"Total",53242,11625,"Census Tract 127.20, Thurston County, WA","14000US53067012720"
2015,"2015",0,"Total",54389,4781,"Census Tract 127.30, Thurston County, WA","14000US53067012730"
2015,"2015",0,"Total",60673,7729,"Census Tract 123.30, Thurston County, WA","14000US53067012330"
2015,"2015",0,"Total",61827,9437,"Census Tract 125.10, Thurston County, WA","14000US53067012510"
2015,"2015",0,"Total",78393,11712,"Census Tract 118.22, Thurston County, WA","14000US53067011822"
2015,"2015",0,"Total",76723,9633,"Census Tract 116.10, Thurston County, WA","14000US53067011610"
2015,"2015",0,"Total",78000,11177,"Census Tract 104, Thurston County, WA","14000US53067010400"
2015,"2015",0,"Total",86403,3045,"Census Tract 121, Thurston County, WA","14000US53067012100"
2015,"2015",0,"Total",71042,9274,"Census Tract 111, Thurston County, WA","14000US53067011100"
2015,"2015",0,"Total",80055,7617.999999999999,"Census Tract 119, Thurston County, WA","14000US53067011900"
2015,"2015",0,"Total",41841,4711,"Census Tract 105.20, Thurston County, WA","14000US53067010520"
